,minute_of_hour,hour_of_week,day_of_week,week_of_month,month,units_consumed
55,35,4,5,1,1,1.8931469307515
56,40,4,5,1,1,1.8913097474968734
57,45,4,5,1,1,1.8892600175374832
58,50,4,5,1,1,1.8870000181401918
59,55,4,5,1,1,1.8845322601829393
60,0,5,5,1,1,1.8818594853651365
61,5,5,5,1,1,1.8789846631616143
62,10,5,5,1,1,1.8759109875235125
63,15,5,5,1,1,1.872641873329775
64,20,5,5,1,1,1.8691809525931893
65,25,5,5,1,1,1.8655320704251923
66,30,5,5,1,1,1.861699280763918
67,35,5,5,1,1,1.857686841870241
68,40,5,5,1,1,1.8534992115968112
69,45,5,5,1,1,1.8491410424353443
70,50,5,5,1,1,1.844617176347665
71,55,5,5,1,1,1.8399326393862478
72,0,6,5,1,1,1.8350926361102304
73,5,6,5,1,1,1.8301025438031062
74,10,6,5,1,1,1.824967906498518
75,15,6,5,1,1,1.8196944288207915
76,20,6,5,1,1,1.8142879696470497
77,25,6,5,1,1,1.8087545355979526
78,30,6,5,1,1,1.803100274364293
79,35,6,5,1,1,1.79733146787686
80,40,6,5,1,1,1.7914545253271625
81,45,6,5,1,1,1.7854759760467662
82,50,6,5,1,1,1.7794024622531501
83,55,6,5,1,1,1.7732407316701502
84,0,7,5,1,1,1.7669976300311812
85,5,7,5,1,1,1.7606800934735714
86,10,7,5,1,1,1.7542951408324567
87,15,7,5,1,1,1.7478498658427966
88,20,7,5,1,1,1.7413514292581769
89,25,7,5,1,1,1.7348070508951527
90,30,7,5,1,1,1.7282240016119736
91,35,7,5,1,1,1.7216095952305999
92,40,7,5,1,1,1.7149711804109855
93,45,7,5,1,1,1.7083161324866583
94,50,7,5,1,1,1.701651845270661
95,55,7,5,1,1,1.6949857228409664
96,0,8,5,1,1,1.6883251713144842
97,5,8,5,1,1,1.6816775906188053
98,10,8,5,1,1,1.6750503662708205
99,15,8,5,1,1,1.6684508611713504
100,20,8,5,1,1,1.6618864074249031
101,25,8,5,1,1,1.655364298193644
102,30,8,5,1,1,1.6488917795946338
103,35,8,5,1,1,1.6424760426493328
104,40,8,5,1,1,1.6361242152943154
105,45,8,5,1,1,1.6298433544620763
106,50,8,5,1,1,1.623640438240718
107,55,8,5,1,1,1.6175223581212388
108,0,9,5,1,1,1.6114959113410297
109,5,9,5,1,1,1.6055677933320867
110,10,9,5,1,1,1.5997445902823313
111,15,9,5,1,1,1.5940327718183016
112,20,9,5,1,1,1.5884386838173437
113,25,9,5,1,1,1.5829685413572903
114,30,9,5,1,1,1.5776284218114565
115,35,9,5,1,1,1.57242425809663
116,40,9,5,1,1,1.56736183208155
117,45,9,5,1,1,1.5624467681632055
118,50,9,5,1,1,1.5576845270180808
119,55,9,5,1,1,1.5530803995353022
120,0,10,5,1,1,1.5486395009384144
121,5,10,5,1,1,1.5443667651023265
122,10,10,5,1,1,1.5402669390717345
123,15,10,5,1,1,1.536344577787118
124,20,10,5,1,1,1.5326040390241618
125,25,10,5,1,1,1.5290494785522322
126,30,10,5,1,1,1.5256848455172825
127,35,10,5,1,1,1.52251387805432
128,40,10,5,1,1,1.5195400991343067
129,45,10,5,1,1,1.5167668126501093
130,50,10,5,1,1,1.5141970997458478
131,55,10,5,1,1,1.5118338153937187
132,0,11,5,1,1,1.509679585222097
133,5,11,5,1,1,1.507736802598442
134,10,11,5,1,1,1.5060076259702457
135,15,11,5,1,1,1.5044939764669807
136,20,11,5,1,1,1.503197535765709
137,25,11,5,1,1,1.5021197442227248
138,30,11,5,1,1,1.5012617992733073
139,35,11,5,1,1,1.5006246541013597
140,40,11,5,1,1,1.5002090165804145
141,45,11,5,1,1,1.5000153484871799
142,50,11,5,1,1,1.5000438649885024
143,55,11,5,1,1,1.500294534402314
144,0,12,5,1,1,1.500767078232832
145,5,12,5,1,1,1.5014609714799696
146,10,12,5,1,1,1.5023754432226155
147,15,12,5,1,1,1.5035094774751336
148,20,12,5,1,1,1.5048618143161316
149,25,12,5,1,1,1.5064309512882434
150,30,12,5,1,1,1.5082151450673724
151,35,12,5,1,1,1.5102124133995387
152,40,12,5,1,1,1.5124205373031787
153,45,12,5,1,1,1.5148370635344537
154,50,12,5,1,1,1.5174593073128222
155,55,12,5,1,1,1.5202843553038543
156,0,13,5,1,1,1.5233090688559696
157,5,13,5,1,1,1.5265300874875054
158,10,13,5,1,1,1.5299438326202397
159,15,13,5,1,1,1.5335465115552198
160,20,13,5,1,1,1.5373341216864842
161,25,13,5,1,1,1.5413024549479883
162,30,13,5,1,1,1.5454471024888028
163,35,13,5,1,1,1.5497634595713812
164,40,13,5,1,1,1.554246730687463
165,45,13,5,1,1,1.5588919348859218
166,50,13,5,1,1,1.5636939113066433
167,55,13,5,1,1,1.5686473249142832
168,0,14,5,1,1,1.5737466724255358
169,5,14,5,1,1,1.578986288423327
170,10,14,5,1,1,1.5843603516511384
171,15,14,5,1,1,1.5898628914804727
172,20,14,5,1,1,1.59548779454427
173,25,14,5,1,1,1.6012288115289097
174,30,14,5,1,1,1.6070795641172486
175,35,14,5,1,1,1.6130335520749848
176,40,14,5,1,1,1.6190841604724702
177,45,14,5,1,1,1.625224667033953
178,50,14,5,1,1,1.6314482496060807
179,55,14,5,1,1,1.6377479937373693
180,0,15,5,1,1,1.644116900360215
181,5,15,5,1,1,1.6505478935669167
182,10,15,5,1,1,1.657033828471067
183,15,15,5,1,1,1.663567499145581
184,20,15,5,1,1,1.670141646628539
185,25,15,5,1,1,1.6767489669879543
186,30,15,5,1,1,1.6833821194365008
187,35,15,5,1,1,1.6900337344871896
188,40,15,5,1,1,1.696696422140928
189,45,15,5,1,1,1.70336278009687
190,50,15,5,1,1,1.7100254019764347
191,55,15,5,1,1,1.7166768855518517
192,0,16,5,1,1,1.7233098409700989
193,5,16,5,1,1,1.7299168989630889
194,10,16,5,1,1,1.736490719034987
195,15,16,5,1,1,1.7430239976175632
196,20,16,5,1,1,1.7495094761845156
197,25,16,5,1,1,1.7559399493157526
198,30,16,5,1,1,1.7623082727026758
199,35,16,5,1,1,1.7686073710855637
200,40,16,5,1,1,1.7748302461142442
201,45,16,5,1,1,1.7809699841233197
202,50,16,5,1,1,1.7870197638133063
203,55,16,5,1,1,1.7929728638291527
204,0,17,5,1,1,1.798822670227722
205,5,17,5,1,1,1.804562683825936
206,10,17,5,1,1,1.810186527421423
207,15,17,5,1,1,1.8156879528776402
208,20,17,5,1,1,1.821060848065605
209,25,17,5,1,1,1.8262992436545222
210,30,17,5,1,1,1.831397319743758
211,35,17,5,1,1,1.8363494123287984
212,40,17,5,1,1,1.8411500195940045
213,45,17,5,1,1,1.8457938080251755
214,50,17,5,1,1,1.8502756183351259
215,55,17,5,1,1,1.8545904711956969
216,0,18,5,1,1,1.8587335727698309
217,5,18,5,1,1,1.8627003200375636
218,10,18,5,1,1,1.8664863059100174
219,15,18,5,1,1,1.870087324125713
220,20,18,5,1,1,1.8734993739237613
221,25,18,5,1,1,1.8767186644887408
222,30,18,5,1,1,1.8797416191623255
223,35,18,5,1,1,1.882564879416981
224,40,18,5,1,1,1.885185308587317
225,45,18,5,1,1,1.887599995354948
226,50,18,5,1,1,1.8898062569829919
227,55,18,5,1,1,1.891801642296613
228,0,19,5,1,1,1.8935839344062975
229,5,19,5,1,1,1.8951511531708356
230,10,19,5,1,1,1.8965015573972748
231,15,19,5,1,1,1.8976336467754003
232,20,19,5,1,1,1.8985461635445908
233,25,19,5,1,1,1.899238093891202
234,30,19,5,1,1,1.8997086690749212
235,35,19,5,1,1,1.8999573662828444
236,40,19,5,1,1,1.899983909210326
237,45,19,5,1,1,1.8997882683679546
238,50,19,5,1,1,1.8993706611143173
239,55,19,5,1,1,1.8987315514145116
240,0,20,5,1,1,1.8978716493246766
241,5,20,5,1,1,1.8967919102031146
242,10,20,5,1,1,1.8954935336488805
243,15,20,5,1,1,1.8939779621690174
244,20,20,5,1,1,1.892246879575919
245,25,20,5,1,1,1.8903022091166004
246,30,20,5,1,1,1.8881461113359548
247,35,20,5,1,1,1.8857809816763704
248,40,20,5,1,1,1.883209447816374
249,45,20,5,1,1,1.8804343667512589
250,50,20,5,1,1,1.877458821618939
251,55,20,5,1,1,1.874286118274558
252,0,21,5,1,1,1.8709197816176562
253,5,21,5,1,1,1.8673635516759788
254,10,21,5,1,1,1.8636213794502738
255,15,21,5,1,1,1.8596974225246983
256,20,21,5,1,1,1.855596040447707
257,25,21,5,1,1,1.8513217898885599
258,30,21,5,1,1,1.8468794195748228
259,35,21,5,1,1,1.8422738650164945
260,40,21,5,1,1,1.8375102430226125
261,45,21,5,1,1,1.8325938460164368
262,50,21,5,1,1,1.8275301361555243
263,55,21,5,1,1,1.822324739263226
264,0,22,5,1,1,1.8169834385783525
265,5,22,5,1,1,1.811512168329946
266,10,22,5,1,1,1.8059170071443045
267,15,22,5,1,1,1.800204171291577
268,20,22,5,1,1,1.7943800077794374
269,25,22,5,1,1,1.7884509873015046
270,30,22,5,1,1,1.7824236970483516
271,35,22,5,1,1,1.7763048333890792
272,40,22,5,1,1,1.7701011944315974
273,45,22,5,1,1,1.7638196724698707
274,50,22,5,1,1,1.7574672463265217
275,55,22,5,1,1,1.7510509735993036
276,0,23,5,1,1,1.7445779828200496
277,5,23,5,1,1,1.7380554655348157
278,10,23,5,1,1,1.7314906683140137
279,15,23,5,1,1,1.7248908847014126
280,20,23,5,1,1,1.7182634471109501
281,25,23,5,1,1,1.7116157186803613
282,30,23,5,1,1,1.7049550850906718
283,35,23,5,1,1,1.698288946360645
284,40,23,5,1,1,1.691624708625301
285,45,23,5,1,1,1.6849697759076383
286,50,23,5,1,1,1.6783315418927052
287,55,23,5,1,1,1.6717173817131532
288,0,0,6,1,1,1.8651346437554044
289,5,0,6,1,1,1.8585906414955338
290,10,0,6,1,1,1.8520926453739373
291,15,0,6,1,1,1.8456478747178118
292,20,0,6,1,1,1.8392634897204247
293,25,0,6,1,1,1.8329465834860783
294,30,0,6,1,1,1.8267041741496146
295,35,0,6,1,1,1.8205431970792079
296,40,0,6,1,1,1.8144704971711143
297,45,0,6,1,1,1.808492821244936
298,50,0,6,1,1,1.8026168105478488
299,55,0,6,1,1,1.7968489933761218
300,0,1,6,1,1,1.7911957778221264
301,5,1,6,1,1,1.7856634446548931
302,10,1,6,1,1,1.7802581403421256
303,15,1,6,1,1,1.7749858702214238
304,20,1,6,1,1,1.7698524918283054
305,25,1,6,1,1,1.7648637083884346
306,30,1,6,1,1,1.7600250624812919
307,35,1,6,1,1,1.755341929882323
308,40,1,6,1,1,1.750819513590407
309,45,1,6,1,1,1.7464628380472837
310,50,1,6,1,1,1.7422767435553554
311,55,1,6,1,1,1.738265880900072
312,0,2,6,1,1,1.7344347061828695
313,5,2,6,1,1,1.7307874758704063
314,10,2,6,1,1,1.7273282420655915
315,15,2,6,1,1,1.7240608480056663
316,20,2,6,1,1,1.7209889237923361
317,25,2,6,1,1,1.718115882358697
318,30,2,6,1,1,1.715444915677439
319,35,2,6,1,1,1.7129789912145386
320,40,2,6,1,1,1.7107208486323788
321,45,2,6,1,1,1.7086729967459628
322,50,2,6,1,1,1.706837710735599
323,55,2,6,1,1,1.7052170296191567
324,0,3,6,1,1,1.703812753986702
325,5,3,6,1,1,1.7026264440000254
326,10,3,6,1,1,1.7016594176592905
327,15,3,6,1,1,1.7009127493387248
328,20,3,6,1,1,1.7003872685929806
329,25,3,6,1,1,1.7000835592354933
330,30,3,6,1,1,1.7000019586898596
331,35,3,6,1,1,1.7001425576149582
332,40,3,6,1,1,1.7005051998042253
333,45,3,6,1,1,1.7010894823592024
334,50,3,6,1,1,1.7018947561371602
335,55,3,6,1,1,1.7029201264723002
336,0,4,6,1,1,1.704164454169737
337,5,4,6,1,1,1.7056263567711525
338,10,4,6,1,1,1.707304210090719
339,15,4,6,1,1,1.7091961500195825
340,20,4,6,1,1,1.7113000745969034
341,25,4,6,1,1,1.713613646345152
342,30,4,6,1,1,1.7161342948670653
343,35,4,6,1,1,1.71885921970138
344,40,4,6,1,1,1.721785393434167
345,45,4,6,1,1,1.7249095650623145
346,50,4,6,1,1,1.728228263605419
347,55,4,6,1,1,1.731737801962071
348,0,5,6,1,1,1.7354342810062586
349,5,5,6,1,1,1.7393135939193256
350,10,5,6,1,1,1.7433714307526824
351,15,5,6,1,1,1.7476032832161936
352,20,5,6,1,1,1.7520044496869265
353,25,5,6,1,1,1.7565700404326916
354,30,5,6,1,1,1.7612949830445759
355,35,5,6,1,1,1.7661740280724312
356,40,5,6,1,1,1.7712017548570562
357,45,5,6,1,1,1.7763725775525936
358,50,5,6,1,1,1.781680751332451
359,55,5,6,1,1,1.7871203787718497
360,0,6,6,1,1,1.7926854163999133
361,5,6,6,1,1,1.7983696814140133
362,10,6,6,1,1,1.804166858548913
363,15,6,6,1,1,1.81007050709308
364,20,6,6,1,1,1.8160740680443699
365,25,6,6,1,1,1.8221708713971305
366,30,6,6,1,1,1.8283541435526347
367,35,6,6,1,1,1.8346170148446024
368,40,6,6,1,1,1.840952527171459
369,45,6,6,1,1,1.8473536417268401
370,50,6,6,1,1,1.8538132468197668
371,55,6,6,1,1,1.8603241657757905
372,0,7,6,1,1,1.8668791649103385
373,5,7,6,1,1,1.8734709615653968
374,10,7,6,1,1,1.880092232200603
375,15,7,6,1,1,1.8867356205297603
376,20,7,6,1,1,1.8933937456937313
377,25,7,6,1,1,1.9000592104606342
378,30,7,6,1,1,1.9067246094442276
379,35,7,6,1,1,1.9133825373313564
380,40,7,6,1,1,1.920025597109315
381,45,7,6,1,1,1.9266464082839887
382,50,7,6,1,1,1.9332376150796455
383,55,7,6,1,1,1.939791894611262
384,0,8,6,1,1,1.9463019650203082
385,5,8,6,1,1,1.9527605935649541
386,10,8,6,1,1,1.9591606046557049
387,15,8,6,1,1,1.965494887827539
388,20,8,6,1,1,1.9717564056396946
389,25,8,6,1,1,1.9779382014943234
390,30,8,6,1,1,1.9840334073653285
391,35,8,6,1,1,1.9900352514287976
392,40,8,6,1,1,1.9959370655865551
393,45,8,6,1,1,2.001732292874475
394,50,8,6,1,1,2.007414494747321
395,55,8,6,1,1,2.0129773582320234
396,0,9,6,1,1,2.018414702941445
397,5,9,6,1,1,2.0237204879408406
398,10,9,6,1,1,2.028888818459387
399,15,9,6,1,1,2.033913952439321
400,20,9,6,1,1,2.0387903069154114
401,25,9,6,1,1,2.0435124642176836
402,30,9,6,1,1,2.04807517799049
403,35,9,6,1,1,2.0524733790212593
404,40,9,6,1,1,2.05670218087243
405,45,9,6,1,1,2.0607568853103246
406,50,9,6,1,1,2.064632987524925
407,55,9,6,1,1,2.0683261811347533
408,0,10,6,1,1,2.0718323629712994
409,5,10,6,1,1,2.0751476376376714
410,10,10,6,1,1,2.0782683218364166
411,15,10,6,1,1,2.0811909484616926
412,20,10,6,1,1,2.083912270451254
413,25,10,6,1,1,2.0864292643939626
414,30,10,6,1,1,2.0887391338888213
415,35,10,6,1,1,2.090839312651802
416,40,10,6,1,1,2.0927274673670055
417,45,10,6,1,1,2.0944015002789955
418,50,10,6,1,1,2.0958595515234224
419,55,10,6,1,1,2.097100001193348
420,0,11,6,1,1,2.0981214711389744
421,5,11,6,1,1,2.0989228264987814
422,10,11,6,1,1,2.099503176960365
423,15,11,6,1,1,2.099861877749584
424,20,11,6,1,1,2.099998530346908
425,25,11,6,1,1,2.099912982930176
426,30,11,6,1,1,2.0996053305432727
427,35,11,6,1,1,2.099075914990533
428,40,11,6,1,1,2.0983253244569955
429,45,11,6,1,1,2.097354392854923
430,50,11,6,1,1,2.0961641988973208
431,55,11,6,1,1,2.0947560648994763
432,0,12,6,1,1,2.093131555309856
433,5,12,6,1,1,2.09129247497199
434,10,12,6,1,1,2.089240867119278
435,15,12,6,1,1,2.086979011104937
436,20,12,6,1,1,2.084509419869624
437,25,12,6,1,1,2.081834837149537
438,30,12,6,1,1,2.078958234428101
439,35,12,6,1,1,2.0758828076346263
440,40,12,6,1,1,2.072611973593604
441,45,12,6,1,1,2.0691493662285874
442,50,12,6,1,1,2.0654988325248698
443,55,12,6,1,1,2.0616644282554564
444,0,13,6,1,1,2.0576504134750637
445,5,13,6,1,1,2.0534612477871654
446,10,13,6,1,1,2.049101585389335
447,15,13,6,1,1,2.0445762699023957
448,20,13,6,1,1,2.0398903289891157
449,25,13,6,1,1,2.035048968768435
450,30,13,6,1,1,2.030057568031424
451,35,13,6,1,1,2.0249216722654015
452,40,13,6,1,1,2.0196469874928544
453,45,13,6,1,1,2.014239373931998
454,50,13,6,1,1,2.0087048394860263
455,55,13,6,1,1,2.0030495330682814
456,0,14,6,1,1,1.9972797377707603
457,5,14,6,1,1,1.9914018638835491
458,10,14,6,1,1,1.985422441772936
459,15,14,6,1,1,1.9793481146261227
460,20,14,6,1,1,1.9731856310705866
461,25,14,6,1,1,1.9669418376763013
462,30,14,6,1,1,1.9606236713491407
463,35,14,6,1,1,1.9542381516239202
464,40,14,6,1,1,1.9477923728656343
465,45,14,6,1,1,1.9412934963875597
466,50,14,6,1,1,1.934748742494977
467,55,14,6,1,1,1.928165382463352
468,0,15,6,1,1,1.9215507304598891
469,5,15,6,1,1,1.914912135417431
470,10,15,6,1,1,1.9082569728697336
471,15,15,6,1,1,1.9015926367571878
472,20,15,6,1,1,1.8949265312120906
473,25,15,6,1,1,1.8882660623325926
474,30,15,6,1,1,1.881618629954464
475,35,15,6,1,1,1.8749916194298129
476,40,15,6,1,1,1.8683923934219009
477,45,15,6,1,1,1.8618282837251625
478,50,15,6,1,1,1.8553065831195212
479,55,15,6,1,1,1.8488345372680517
480,0,16,6,1,1,1.8424193366669872
481,5,16,6,1,1,1.8360681086570199
482,10,16,6,1,1,1.8297879095047669
483,15,16,6,1,1,1.8235857165631986
484,20,16,6,1,1,1.8174684205197442
485,25,16,6,1,1,1.8114428177406787
486,30,16,6,1,1,1.8055156027203072
487,35,16,6,1,1,1.7996933606433219
488,40,16,6,1,1,1.793982560068614
489,45,16,6,1,1,1.7883895457426444
490,50,16,6,1,1,1.7829205315503853
491,55,16,6,1,1,1.7775815936116364
492,0,17,6,1,1,1.7723786635304108
493,5,17,6,1,1,1.76731752180487
494,10,17,6,1,1,1.7624037914051471
495,15,17,6,1,1,1.7576429315261757
496,20,17,6,1,1,1.7530402315224844
497,25,17,6,1,1,1.7486008050316775
498,30,17,6,1,1,1.7443295842931406
499,35,17,6,1,1,1.7402313146682857
500,40,17,6,1,1,1.7363105493684112
501,45,17,6,1,1,1.732571644396051
502,50,17,6,1,1,1.7290187537054154
503,55,17,6,1,1,1.725655824587318
504,0,18,6,1,1,1.7224865932836995
505,5,18,6,1,1,1.7195145808366352
506,10,18,6,1,1,1.7167430891764255
507,15,18,6,1,1,1.7141751974531267
508,20,18,6,1,1,1.7118137586155875
509,25,18,6,1,1,1.7096613962418017
510,30,18,6,1,1,1.707720501624089
511,35,18,6,1,1,1.705993231112352
512,40,18,6,1,1,1.704481503718352
513,45,18,6,1,1,1.7031869989836717
514,50,18,6,1,1,1.7021111551137305
515,55,18,6,1,1,1.7012551673799268
516,0,19,6,1,1,1.7006199867916811
517,5,19,6,1,1,1.7002063190398573
518,10,19,6,1,1,1.700014623712734
519,15,19,6,1,1,1.7000451137853982
520,20,19,6,1,1,1.7002977553831276
521,25,19,6,1,1,1.7007722678190274
522,30,19,6,1,1,1.7014681239058738
523,35,19,6,1,1,1.7023845505418245
524,40,19,6,1,1,1.7035205295693405
525,45,19,6,1,1,1.7048747989063688
526,50,19,6,1,1,1.7064458539485245
527,55,19,6,1,1,1.708231949240719
528,0,20,6,1,1,1.7102311004163755
529,5,20,6,1,1,1.7124410864020765
530,10,20,6,1,1,1.7148594518851943
531,15,20,6,1,1,1.7174835100417634
532,20,20,6,1,1,1.7203103455215651
533,25,20,6,1,1,1.723336817687104
534,30,20,6,1,1,1.7265595641028841
535,35,20,6,1,1,1.7299750042710995
536,40,20,6,1,1,1.7335793436096008
537,45,20,6,1,1,1.7373685776677026
538,50,20,6,1,1,1.7413384965751662
539,55,20,6,1,1,1.7454846897193947
540,0,21,6,1,1,1.7498025506456651
541,5,21,6,1,1,1.7542872821749336
542,10,21,6,1,1,1.758933901733542
543,15,21,6,1,1,1.7637372468889003
544,20,21,6,1,1,1.768691981084988
545,25,21,6,1,1,1.7737925995713155
546,30,21,6,1,1,1.7790334355187436
547,35,21,6,1,1,1.7844086663153813
548,40,21,6,1,1,1.7899123200355518
549,45,21,6,1,1,1.795538282074654
550,50,21,6,1,1,1.801280301942536
551,55,21,6,1,1,1.8071320002078446
552,0,22,6,1,1,1.813086875585621
553,5,22,6,1,1,1.819138312160288
554,10,22,6,1,1,1.8252795867359806
555,15,22,6,1,1,1.8315038763060778
556,20,22,6,1,1,1.837804265633614
557,25,22,6,1,1,1.8441737549341668
558,30,22,6,1,1,1.850605267652676
559,35,22,6,1,1,1.8570916583255521
560,40,22,6,1,1,1.8636257205193474
561,45,22,6,1,1,1.8702001948371605
562,50,22,6,1,1,1.8768077769838898
563,55,22,6,1,1,1.88344112588136
564,0,23,6,1,1,1.8900928718243268
565,5,23,6,1,1,1.8967556246682742
566,10,23,6,1,1,1.9034219820399307
567,15,23,6,1,1,1.9100845375613626
568,20,23,6,1,1,1.9167358890785258
569,25,23,6,1,1,1.9233686468851146
570,30,23,6,1,1,1.9299754419325907
571,35,23,6,1,1,1.9365489340172544
572,40,23,6,1,1,1.9430818199352706
573,45,23,6,1,1,1.9495668415965923
574,50,23,6,1,1,1.9559967940887533
575,55,23,6,1,1,1.9623645336815898
576,0,0,0,1,1,0.7686629857639791
577,5,0,0,1,1,0.7748851527037965
578,10,0,0,1,1,0.7810241216223355
579,15,0,0,1,1,0.7870730720745787
580,20,0,0,1,1,0.7930252836267637
581,25,0,0,1,1,0.7988741433228455
582,30,0,0,1,1,0.8046131530315392
583,35,0,0,1,1,0.8102359366658034
584,40,0,0,1,1,0.8157362472667194
585,45,0,0,1,1,0.8211079739439202
586,50,0,0,1,1,0.8263451486648342
587,55,0,0,1,1,0.8314419528852219
588,0,1,0,1,1,0.8363927240136271
589,5,1,0,1,1,0.8411919617025589
590,10,1,0,1,1,0.8458343339594281
591,15,1,0,1,1,0.8503146830704296
592,20,1,0,1,1,0.8546280313308097
593,25,1,0,1,1,0.8587695865751329
594,30,1,0,1,1,0.8627347475014211
595,35,1,0,1,1,0.866519108783234
596,40,1,0,1,1,0.870118465964027
597,45,1,0,1,1,0.8735288201283334
598,50,1,0,1,1,0.8767463823445957
599,55,1,0,1,1,0.8797675778746966
600,0,2,0,1,1,0.8825890501455255
601,5,2,0,1,1,0.8852076644781565
602,10,2,0,1,1,0.8876205115705033
603,15,2,0,1,1,0.8898249107295789
604,20,2,0,1,1,0.8918184128497655
605,25,2,0,1,1,0.8935988031337929
606,30,2,0,1,1,0.895164103553395
607,35,2,0,1,1,0.8965125750469171
608,40,2,0,1,1,0.8976427194514255
609,45,2,0,1,1,0.8985532811671814
610,50,2,0,1,1,0.8992432485526205
611,55,2,0,1,1,0.8997118550482965
612,0,3,0,1,1,0.8999585800285338
613,5,3,0,1,1,0.8999831493798479
614,10,3,0,1,1,0.8997855358054871
615,15,3,0,1,1,0.8993659588557599
616,20,3,0,1,1,0.898724884684112
617,25,3,0,1,1,0.8978630255292273
618,30,3,0,1,1,0.8967813389237231
619,35,3,0,1,1,0.8954810266303257
620,40,3,0,1,1,0.8939635333066996
621,45,3,0,1,1,0.8922305449004233
622,50,3,0,1,1,0.8902839867758854
623,55,3,0,1,1,0.8881260215751915
624,0,4,0,1,1,0.885759046815448
625,5,4,0,1,1,0.8831856922251041
626,10,4,0,1,1,0.8804088168222985
627,15,4,0,1,1,0.8774315057384702
628,20,4,0,1,1,0.8742570667907483
629,25,4,0,1,1,0.8708890268069438
630,30,4,0,1,1,0.8673311277072112
631,35,4,0,1,1,0.8635873223467473
632,40,4,0,1,1,0.8596617701241356
633,45,4,0,1,1,0.8555588323602186
634,50,4,0,1,1,0.8512830674526374
635,55,4,0,1,1,0.8468392258114114
636,0,5,0,1,1,0.8422322445811965
637,5,5,0,1,1,0.8374672421560737
638,10,5,0,1,1,0.8325495124929746
639,15,5,0,1,1,0.8274845192300477
640,20,5,0,1,1,0.8222778896165158
641,25,5,0,1,1,0.8169354082607511
642,30,5,0,1,1,0.8114630107035322
643,35,5,0,1,1,0.8058667768236055
644,40,5,0,1,1,0.8001529240828935
645,45,5,0,1,1,0.7943278006188392
646,50,5,0,1,1,0.7883978781915775
647,55,5,0,1,1,0.7823697449937541
648,0,6,0,1,1,0.776250098330988
649,5,6,0,1,1,0.7700457371811134
650,10,6,0,1,1,0.7637635546404549
651,15,6,0,1,1,0.7574105302655456
652,20,6,0,1,1,0.7509937223187773
653,25,6,0,1,1,0.7445202599266177
654,30,6,0,1,1,0.7379973351590875
655,35,6,0,1,1,0.7314321950393161
656,40,6,0,1,1,0.7248321334920345
657,45,6,0,1,1,0.7182044832399695
658,50,6,0,1,1,0.7115566076571238
659,55,6,0,1,1,0.7048958925880116
660,0,7,0,1,1,0.6982297381419191
661,5,7,0,1,1,0.691565550471328
662,10,7,0,1,1,0.6849107335436153
663,15,7,0,1,1,0.678272680915184
664,20,7,0,1,1,0.671658767517165
665,25,7,0,1,1,0.6650763414618031
666,30,7,0,1,1,0.6585327158786483
667,35,7,0,1,1,0.652035160789604
668,40,7,0,1,1,0.6455908950318784
669,45,7,0,1,1,0.6392070782377905
